GMT,CFDM1,CFDM1
,QME,SQME
1962-07-11 00:00:00,1.8123407,2.398471
1962-07-12 00:00:00,1.7556479,2.3311102
1962-07-13 00:00:00,1.8123407,2.2546055
1962-07-14 00:00:00,2.0388072,2.2241254
1962-07-15 00:00:00,4.1626534,2.3143463
1962-07-16 00:00:00,4.728972,2.3765254
1962-07-17 00:00:00,4.558893,2.6734006
1962-07-18 00:00:00,4.3891196,2.8730447
1962-07-19 00:00:00,3.992575,2.9346142
1962-07-20 00:00:00,4.049268,2.8849318
1962-07-21 00:00:00,4.1059604,2.8139133
1962-07-22 00:00:00,3.6246815,2.7791662
1962-07-23 00:00:00,3.6246815,2.745943
1962-07-24 00:00:00,3.0300167,2.723388
1962-07-25 00:00:00,3.2281365,3.2308798
1962-07-26 00:00:00,4.219346,3.8429182
1962-07-27 00:00:00,4.049268,3.6640005
1962-07-28 00:00:00,5.3236365,3.660343
1962-07-29 00:00:00,4.672279,3.617671
1962-07-30 00:00:00,3.794455,3.4914837
1962-07-31 00:00:00,3.2281365,3.3582861
1962-08-01 00:00:00,3.058363,3.224479
1962-08-02 00:00:00,2.9449775,3.1095693
1962-08-03 00:00:00,2.8032455,3.0492191
1962-08-04 00:00:00,2.4917397,2.930347
1962-08-05 00:00:00,2.2085807,2.8245814
1962-08-06 00:00:00,2.0955,2.771851
1962-08-07 00:00:00,2.0104606,2.7194254
1962-08-08 00:00:00,1.9821143,2.5880566
1962-08-09 00:00:00,2.0388072,2.5182574
1962-08-10 00:00:00,1.8690335,2.4847295
1962-08-11 00:00:00,1.7556479,2.4649174
1962-08-12 00:00:00,1.8123407,2.4530303
1962-08-13 00:00:00,1.8123407,2.4231598
1962-08-14 00:00:00,1.7273015,2.3070312
1962-08-15 00:00:00,1.7273015,2.2454615
1962-08-16 00:00:00,1.5858743,2.212543
1962-08-17 00:00:00,1.4157959,2.1930358
1962-08-18 00:00:00,1.4157959,2.1808438
1962-08-19 00:00:00,1.5008351,2.1774912
1962-08-20 00:00:00,1.4724888,2.1774912
1962-08-21 00:00:00,1.4441423,2.1774912
1962-08-22 00:00:00,1.5858743,2.1774912
1962-08-23 00:00:00,1.9821143,2.1774912
1962-08-24 00:00:00,2.1238463,2.1774912
1962-08-25 00:00:00,2.4353518,2.1774912
1962-08-26 00:00:00,2.4917397,2.1704807
1962-08-27 00:00:00,2.378659,2.058619
1962-08-28 00:00:00,2.1521926,1.9854671
1962-08-29 00:00:00,2.0388072,1.9470623
1962-08-30 00:00:00,2.2085807,2.0034504
1962-08-31 00:00:00,3.5112958,2.5395935
1962-09-01 00:00:00,3.4829495,2.739847
1962-09-02 00:00:00,3.0300167,2.8087318
1962-09-03 00:00:00,2.8032455,2.7758133
1962-09-04 00:00:00,2.4917397,2.7706318
1962-09-05 00:00:00,2.1521926,2.7252166
1962-09-06 00:00:00,1.8973799,2.5911047
1962-09-07 00:00:00,1.8690335,2.5194767
1962-09-08 00:00:00,1.840687,2.4847295
1962-09-09 00:00:00,1.6706088,2.4649174
1962-09-10 00:00:00,1.4724888,2.3990808
1962-09-11 00:00:00,1.5008351,2.2878287
1962-09-12 00:00:00,2.0388072,2.622804
1962-09-13 00:00:00,3.596335,3.154375
1962-09-14 00:00:00,3.058363,3.2445958
1962-09-15 00:00:00,2.4353518,3.257702
1962-09-16 00:00:00,2.4917397,3.2723327
1962-09-17 00:00:00,2.8315918,3.1790638
1962-09-18 00:00:00,2.8315918,3.0824423
1962-09-19 00:00:00,4.870399,7.5547724
1962-09-20 00:00:00,10.080649,6.9631557
1962-09-21 00:00:00,7.4474826,6.227978
1962-09-22 00:00:00,5.833262,5.7704735
1962-09-23 00:00:00,4.7856646,5.392826
1962-09-24 00:00:00,3.5112958,4.9639726
1962-09-25 00:00:00,3.2281365,4.5479207
1962-09-26 00:00:00,3.1714437,4.3077383
1962-09-27 00:00:00,2.9449775,4.0745664
1962-09-28 00:00:00,2.7468574,3.8852854
1962-09-29 00:00:00,5.0121307,8.79348
1962-09-30 00:00:00,12.657734,11.365077
1962-10-01 00:00:00,13.705331,9.617964
1962-10-02 00:00:00,11.326673,8.67979
1962-10-03 00:00:00,8.976359,7.9260187
1962-10-04 00:00:00,7.1359773,7.2505817
1962-10-05 00:00:00,5.748223,6.4675508
1962-10-06 00:00:00,4.8987455,6.004864
1962-10-07 00:00:00,4.275734,6.534302
1962-10-08 00:00:00,5.691835,19.930567
1962-10-09 00:00:00,11.326673,23.29129
1962-10-10 00:00:00,10.873739,17.161762
1962-10-11 00:00:00,9.741102,13.76751
1962-10-12 00:00:00,8.49508,11.754002
1962-10-13 00:00:00,7.2207117,10.047122
1962-10-14 00:00:00,6.427927,8.352738
1962-10-15 00:00:00,5.691835,7.629753
1962-10-16 00:00:00,5.1535583,7.1109834
1962-10-17 00:00:00,4.728972,6.668719
1962-10-18 00:00:00,4.5025053,6.2715645
1962-10-19 00:00:00,4.1059604,5.891174
1962-10-20 00:00:00,3.851148,5.5366917
1962-10-21 00:00:00,3.6246815,5.2257957
1962-10-22 00:00:00,3.5112958,4.941417
1962-10-23 00:00:00,3.4829495,4.6911764
1962-10-24 00:00:00,3.4262567,4.4625764
1962-10-25 00:00:00,4.728972,4.7539654
1962-10-26 00:00:00,5.691835,4.52567
1962-10-27 00:00:00,5.380329,5.641238
1962-10-28 00:00:00,6.852818,8.243316
1962-10-29 00:00:00,7.532217,8.672169
1962-10-30 00:00:00,7.928762,8.642604
1962-10-31 00:00:00,8.070189,7.859877
1962-11-01 00:00:00,8.551773,13.487095
1962-11-02 00:00:00,36.811913,54.017567
1962-11-03 00:00:00,60.598198,61.02614
1962-11-04 00:00:00,52.10312,48.383644
1962-11-05 00:00:00,43.04172,45.141182
1962-11-06 00:00:00,33.98032,39.613937
1962-11-07 00:00:00,26.476145,31.232244
1962-11-08 00:00:00,20.75627,24.132538
1962-11-09 00:00:00,16.90512,20.208239
1962-11-10 00:00:00,14.554809,17.55587
1962-11-11 00:00:00,13.110666,19.346264
